facility_name,facility_type,province,province_id,district,district_id,sector,sector_id,cell,cell_id,village,village_id,latitude,longitude,phone,email,website,opening_hours,address,google_rating,google_reviews,is_efiche_client,client_status,source,source_id,osm_id,matched,data_quality,verification_status,timestamp
KARAMBO HP,Health Post,Southern Province,2.0,,19.0,,342.0,,1768.0,,11604.0,-1.4045328,30.1197591,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_117,,False,Verified,Confirmed,2026-08-27T15:29:52.486615
REMERA HP,Health Post,City of Kigali,1.0,Huye,24.0,,71.0,,330.0,,2368.0,-2.787076,29.47428,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_118,,False,Verified,Confirmed,2026-08-27T15:29:52.486673
NDEGO HP,Health Post,Southern Province,2.0,,19.0,,76.0,,1743.0,,11457.0,-1.361877,30.1606903,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_119,,False,Verified,Confirmed,2026-08-27T15:29:52.486726
MUHAMBARA HP,Health Post,Northern Province,4.0,Huye,24.0,,61.0,,281.0,,2142.0,-2.7409994,29.6089717,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_120,,False,Verified,Confirmed,2026-08-27T15:29:52.486769
MISHUNGERO HP,Health Post,Northern Province,4.0,Huye,24.0,,69.0,,321.0,,2320.0,-2.7392974,29.4476703,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_121,,False,Verified,Confirmed,2026-08-27T15:29:52.486809
Kanyeganyege HP,Health Post,Southern Province,2.0,,19.0,,341.0,,1758.0,,11535.0,-1.42274,30.311986,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_122,,False,Verified,Confirmed,2026-08-27T15:29:52.486847
GASORO Health Post,Health Post,Northern Province,4.0,Gisagara,22.0,,41.0,,186.0,,1363.0,-2.319235,29.773086,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_123,,False,Verified,Confirmed,2026-08-27T15:29:52.486886
Nsheke HP,Health Post,Southern Province,2.0,,19.0,,347.0,,1803.0,,11806.0,-1.268797,30.302119,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_124,,False,Verified,Confirmed,2026-08-27T15:29:52.486925
CYANYIRANKORA SG HP,Health Post,Northern Province,4.0,Huye,24.0,,63.0,,289.0,,2175.0,-2.643701,29.451598,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_125,,False,Verified,Confirmed,2026-08-27T15:29:52.486972
Nkanga HP,Health Post,Southern Province,2.0,,16.0,,402.0,,2074.0,,13978.0,-2.2294044,30.3954282,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_126,,False,Verified,Confirmed,2026-08-27T15:29:52.487016
KISARO HP,Health Post,Southern Province,2.0,,19.0,,345.0,,1787.0,,11730.0,-1.445702,30.195361,,,,,,,,True,eFiche Client,eFiche Database,EFICHE_127,,False,Verified,Confirmed,2026-08-27T15:29:52.487055
CHUK,Hospital,,,,,,,,,,,-1.9464,30.0573,250788111111.0,,,24/7,,,,False,Prospect,OpenStreetMap,OSM_1001,1001.0,False,From External Source,Unverified,2026-08-27T15:29:52.491661
Kigali Central Hospital,Hospital,,,,,,,,,,,-1.9405,30.0598,250788222222.0,,,24/7,,,,False,Prospect,OpenStreetMap,OSM_1002,1002.0,False,From External Source,Unverified,2026-08-27T15:29:52.495933
KIBAGABAGA HOSPITAL,Hospital,,,,,,,,,,,-1.9535,30.0625,,,,08:00-17:00,,,,False,Prospect,OpenStreetMap,OSM_1003,1003.0,False,From External Source,Unverified,2026-08-27T15:29:52.500162
Clinic Alpha,Clinic,,,,,,,,,,,-1.945,30.055,,,,08:00-17:00,,,,False,Prospect,OpenStreetMap,OSM_1004,1004.0,False,From External Source,Unverified,2026-08-27T15:29:52.504355
Kigali Pharmacy,Pharmacy,,,,,,,,,,,-1.942,30.053,250788333333.0,,,24/7,,,,False,Prospect,OpenStreetMap,OSM_1005,1005.0,False,From External Source,Unverified,2026-08-27T15:29:52.508942
Rwanda Lab,Laboratory,,,,,,,,,,,-1.948,30.056,,,,08:00-17:00,,,,False,Prospect,OpenStreetMap,OSM_1006,1006.0,False,From External Source,Unverified,2026-08-27T15:29:52.513595
Health Point Clinic,Clinic,,,,,,,,,,,-1.949,30.058,,,,08:00-17:00,,,,False,Prospect,OpenStreetMap,OSM_1007,1007.0,False,From External Source,Unverified,2026-08-27T15:29:52.518384
